ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,description,categories,category
0743203046,Bowling Alone : The Collapse and Revival of American Community,Robert D. Putnam,2001,Simon &amp; Schuster,"Shows how changes in work, family structure, women's roles, and other factors have caused people to become increasingly disconnected from family, friends, neighbors, and democratic structures--and how they may reconnect.",History,History & Politics
0743203313,The Blackwater Lightship: A Novel,Colm Toibin,2001,Scribner,"With AIDS about to claim a well-loved young man, three generations of his family are reunited at his bedside in Ireland, in a novel that explores the nature of love and the complex interrelationships among family members.",Fiction,Fiction
0743203593,"How Right You Are, Jeeves",P.G. Wodehouse,2000,Touchstone,"English comedy with bumbling Bertie Wooster and his all knowing valet, Jeeves.",Fiction,Fiction
0743203968,The Body Artist: A Novel,Don DeLillo,2002,Scribner,"A stunning novel by the bestselling National Book Award-winning author of White Noise and Underworld. Since the publication of his first novel Americana, Don DeLillo has lived in the skin of our times. He has found a voice for the forgotten souls who haunt the fringes of our culture and for its larger-than-life, real-life figures. His language is defiantly, radiantly American. In The Body Artist his spare, seductive twelfth novel, he inhabits the muted world of Lauren Hartke, an artist whose work defies the limits of the body. Lauren is living on a lonely coast, in a rambling rented house, where she encounters a strange, ageless man, a man with uncanny knowledge of her own life. Together they begin a journey into the wilderness of time, love and human perception. The Body Artist is a haunting, beautiful and profoundly moving novel from one of the finest writers of our time.",Fiction,Fiction
074321076X,Sarah Ban Breathnach's Mrs. Sharp's Traditions: Reviving Victorian Family Celebrations Of Comfort &amp; Joy,Sarah Ban Breathnach,2001,Scribner,"Offers hearth and home wisdom, including ideas to enhance modern life with old-fashioned traditions.",Family & Relationships,Family & Relationships
0743211480,Not Much Fun : The Lost Poems of Dorothy Parker,Stuart Y. Silverstein,2001,Scribner,"More than one hundred previously unpublished poems by Dorothy Parker scrutinize the perils and folly of love, experiment with various rhyme schemes, and tackle topical views of the times in which she lived. Reprint. 12,500 first printing.",Biography & Autobiography,Biography & Autobiography
0743211995,An Hour Before Daylight : Memoirs of a Rural Boyhood,Jimmy Carter,2001,Simon &amp; Schuster,The former president offers an account of growing up on a Georgia farm during the Depression and provides profiles of the people who shaped his life.,Biography & Autobiography,Biography & Autobiography
0743219570,Cover Her Face,P.D. James,2001,Touchstone,"Headstrong and beautiful, the young housemaid Sally Jupp is put rudely in her place, strangled in her bed behind a bolted door. Coolly brilliant policeman Adam Dalgliesh of Scotland Yard must find her killer among a houseful of suspects, most of whom had very good reason to wish her ill. Cover Her Face is P. D. James's electric debut novel, an ingeniously plotted mystery that immediately placed her among the masters of suspense.",Fiction,Fiction
0743222989,Authentic Happiness : Using the New Positive Psychology to Realize Your Potential for Lasting Fulfillment,Martin Seligman,2004,Free Press,"Argues that happiness can be a learned and cultivated behavior, explaining how every person possesses at least five of twenty-four profiled strengths that can be built on in order to improve life.",Psychology,Psychology
0743223136,John Adams,David McCullough,2002,Simon &amp; Schuster,"The Pulitzer Prize–winning, bestselling biography of America’s founding father and second president that was the basis for the acclaimed HBO series, brilliantly told by master historian David McCullough. In this powerful, epic biography, David McCullough unfolds the adventurous life journey of John Adams, the brilliant, fiercely independent, often irascible, always honest Yankee patriot who spared nothing in his zeal for the American Revolution; who rose to become the second president of the United States and saved the country from blundering into an unnecessary war; who was learned beyond all but a few and regarded by some as “out of his senses”; and whose marriage to the wise and valiant Abigail Adams is one of the moving love stories in American history. This is history on a grand scale—a book about politics and war and social issues, but also about human nature, love, religious faith, virtue, ambition, friendship, and betrayal, and the far-reaching consequences of noble ideas. Above all, John Adams is an enthralling, often surprising story of one of the most important and fascinating Americans who ever lived.",Biography & Autobiography,Biography & Autobiography
0743225082,Man and Boy: A Novel,Tony Parsons,2002,Touchstone,"Facing his thirtieth birthday with trepidation, Harry Silver watches his perfect life crumble around him when his wife leaves him and he must adjust to raising his son alone.",Fiction,Fiction
0743227441,The Other Boleyn Girl,Philippa Gregory,2002,Touchstone,"The #1 New York Times bestseller from “the queen of royal fiction” (USA TODAY) Philippa Gregory is a rich, compelling novel of love, sex, ambition, and intrigue surrounding the Tudor court of Henry VIII, Anne Boleyn, and the infamous Boleyn family. When Mary Boleyn comes to court as an innocent girl of fourteen, she catches the eye of the handsome and charming Henry VIII. Dazzled by the king, Mary falls in love with both her golden prince and her growing role as unofficial queen. However, she soon realizes just how much she is a pawn in her family’s ambitious plots as the king’s interest begins to wane, and soon she is forced to step aside for her best friend and rival: her sister, Anne. With her own destiny suddenly unknown, Mary realizes that she must defy her family and take fate into her own hands. With more than one million copies in print and adapted for the big screen, The Other Boleyn Girl is a riveting historical drama. It brings to light a woman of extraordinary determination and desire who lived at the heart of the most exciting and glamorous court in Europe, and survived a treacherous political landscape by following her heart.",Fiction,Fiction
0743233212,Them: Adventures with Extremists,Jon Ronson,2002,Simon &amp; Schuster,"From the bestselling author of The Psychopath Test: A Journey Through the Madness Industry and So You’ve Been Publicly Shamed. A wide variety of extremist groups -- Islamic fundamentalists, neo-Nazis -- share the oddly similar belief that a tiny shadowy elite rule the world from a secret room. In Them, journalist Jon Ronson has joined the extremists to track down the fabled secret room. As a journalist and a Jew, Ronson was often considered one of ""Them"" but he had no idea if their meetings actually took place. Was he just not invited? Them takes us across three continents and into the secret room. Along the way he meets Omar Bakri Mohammed, considered one of the most dangerous men in Great Britain, PR-savvy Ku Klux Klan Grand Wizard Thom Robb, and the survivors of Ruby Ridge. He is chased by men in dark glasses and unmasked as a Jew in the middle of a Jihad training camp. In the forests of northern California he even witnesses CEOs and leading politicians -- like Dick Cheney and George Bush -- undertake a bizarre owl ritual. Ronson's investigations, by turns creepy and comical, reveal some alarming things about the looking-glass world of ""us"" and ""them."" Them is a deep and fascinating look at the lives and minds of extremists. Are the extremists onto something? Or is Jon Ronson becoming one of them?",Political Science,History & Politics
0743236149,Man and Wife : A Novel,Tony Parsons,2004,Touchstone,"Harry Silver is ready to try again at living ""happily ever after."" It won't be easy: not when he has to juggle his wife, his ex-wife, his son, his stepdaughter, his work, and his new wife's fast-growing career. Did Harry commit to marriage to Cyd too soon after his split with Gina? Can you love -- really love -- a child who is not your own? Can you be a good father to a child you only see on the weekends? When Harry meets a woman who makes him question all these things and more, his tangled web becomes even more knotty. A brilliant sequel to the international bestseller Man and Boy, Tony Parsons' Man and Wife is a story about families -- and love -- in the new century, written with his trademark humor, passion, and superb storytelling that have made millions across the globe laugh and cry.",Fiction,Fiction
0743243803,The Partly Cloudy Patriot,Sarah Vowell,2003,Simon &amp; Schuster,"The author shares her perspective on such topics as the 2000 election, present-day civil rights activists, and the relationship between the United States and Canada.",History,History & Politics
074324592X,"The Boat of Dreams : A Christmas Story (Preston, Richard)",Richard Preston,2003,Touchstone,"Stumbling upon an ornery old man in the trailer they call home, Lila and Will Foster, who have recently lost their father, realize that their visitor is Santa Claus, who grants them a Christmas wish--their father's beautiful lobster boat.",Fiction,Fiction
0743249291,Wideacre : A Novel,Philippa Gregory,2003,Touchstone,"As an eighteenth-century Englishwoman without property rights, Beatrice Lacey is destined to lose what she loves most--her family's ancestral estate of Wideacre--unless her ambitious schemes succeed. Reprint. 60,000 first printing.",Fiction,Fiction
0743249305,The Favored Child : A Novel,Philippa Gregory,2003,Touchstone,"From #1 New York Times bestselling author and “queen of royal fiction” (USA TODAY) Philippa Gregory comes the thrilling sequel to the New York Times bestseller Wideacre as the once-great Lacey estate is restored to its former grandeur—though not without cost. The Wideacre estate is bankrupt. The villagers are living in poverty and formerly stunning hall is a smoke-blackened ruin. But, in the Dower House nearby, two children are being raised in protected innocence. Equal claimants to the estate, rivals for the love of the village, they are tied by a secret childhood betrothal but forbidden to marry. Only one can be the favored child—only one can inherit the magical understanding between the land and the Lacey family that can make the Sussex village grow green again. Only one can be Beatrice Lacey’s true heir. Sensual, gripping, and mystical, The Favored Child irresistibly sweeps the reader into a world of secrets, betrayals, and power in this revolutionary period of English history.",Fiction,Fiction
0743250443,Generation of Swine : Tales of Shame and Degradation in the '80's,Hunter S. Thompson,2003,Simon &amp; Schuster,"The second volume of the Gonzo Papers comments on the television coverage of Hurricane Gloria, blood pressure machines, the Super Bowl, the hijinks of televangelists, the Iran Contra hearings, the 1988 Presidential race, and other topics, in a collection of cynical, provocative essays. Reprint. 20,000 first printing.",Biography & Autobiography,Biography & Autobiography
0743250451,The Great Shark Hunt : Strange Tales from a Strange Time,Hunter S. Thompson,2003,Simon &amp; Schuster,"Brings together a selection of the legendary American journalist's articles on subjects ranging from the Super Bowl to Watergate, from Hemingway to Brando, and from sharks to drugs.",Biography & Autobiography,Biography & Autobiography
0743253973,A Separate Peace,John Knowles,2003,Scribner,"An American classic and great bestseller for over thirty years, A Separate Peace is timeless in its description of adolescence during a period when the entire country was losing its innocence to the second world war. Set at a boys’ boarding school in New England during the early years of World War II, A Separate Peace is a harrowing and luminous parable of the dark side of adolescence. Gene is a lonely, introverted intellectual. Phineas is a handsome, taunting, daredevil athlete. What happens between the two friends one summer, like the war itself, banishes the innocence of these boys and their world. A bestseller for more than thirty years, A Separate Peace is John Knowles’s crowning achievement and an undisputed American classic.",Fiction,Fiction
074325581X,The Scarpetta Collection Volume II : All That Remains and Cruel &amp; Unusual,Patricia Cornwell,2004,Scribner,"International publishing sensation Patricia Cornwell's legion of readers will welcome this omnibus edition of her third and fourth megabestselling Kay Scarpetta novels, All That Remains and Cruel & Unusual. These two novels, presented here complete and unabridged, helped to confirm Patricia Cornwell's status as queen of the forensic thriller and one of the world's top bestselling authors. All That Remains A killer is stalking young lovers. Taking their lives and leaving just a tantalizing clue. When the bodies of young couples start turning up in remote woodland areas, Dr. Kay Scarpetta's task as Virginia's Chief Medical Examiner is made more difficult by the effects of the elements. Eight times she must write that the cause of death is undetermined. But when the latest young woman to go missing is the daughter of one of America's most powerful women, Kay also finds herself prey to political pressure and press harassment. The killings must stop. Now. Scarpetta soon discovers that someone is withholding vital evidence, or even faking it. Meanwhile, a cunning sadistic killer is still at large. Cruel & Unusual At 11:05 one December evening in Richmond, Virginia, convicted murderer Ronnie Joe Waddell is pronounced dead in the electric chair. At the morgue, Dr. Kay Scarpetta has been waiting for Waddell's body. Preparing to perform a postmortem before the subject is dead is a strange feeling for Scarpetta, but she has been here before. And Waddell's death is not the only newsworthy event on this freezing night: the grotesquely wounded body of a young boy is found propped against a garbage Dumpster. To Scarpetta, the two cases seem unrelated, until she recalls that the body of Waddell's victim had been arranged in a strikingly similar position. Was Waddell innocent? Is someone else out there, who may attack again?",Fiction,Fiction
0743261984,Liars and Saints : A Novel,Maile Meloy,2004,Scribner,"A richly textured novel tells a story of sex and longing, love and loss, and of the deceit that can lie at the heart of family relationships. “Each chapter…has the seductive aura of a finely crafted story. Liars and Saints is instructive and bittersweet and yet somehow never nostalgic” (Los Angeles Times). Set in California, Liars and Saints follows four generations of the Catholic Santerre family from World War II to the present. In a family driven as much by jealousy and propriety as by love, an unspoken tradition of deceit is passed from generation to generation. When tragedy shatters their precarious domestic lives, it takes astonishing courage and compassion to bring them back together. By turns funny and disturbing, irreverent and profound, Liars and Saints is a masterful display of Maile Meloy’s prodigious gifts and of her penetrating insight into an extraordinary American family and into the nature of human love. “Meloy may be the first great American realist of the twenty-first century: The Santerres aren’t real but they feel like they are, and the reader will not soon forget them” (The Boston Globe).",Fiction,Fiction
0743262174,"Cry, the Beloved Country (Oprah's Book Club)",Alan Paton,2003,Scribner,"An Oprah Book Club selection, Cry, the Beloved Country, the most famous and important novel in South Africa’s history, was an immediate worldwide bestseller in 1948. Alan Paton’s impassioned novel about a black man’s country under white man’s law is a work of searing beauty. Cry, the beloved country, for the unborn child that is the inheritor of our fear. Let him not love the earth too deeply. Let him not laugh too gladly when the water runs through his fingers, nor stand too silent when the setting sun makes red the veld with fire. Let him not be too moved when the birds of his land are singing, nor give too much of his heart to a mountain or valley. For fear will rob him of all if he gives too much. The eminent literary critic Lewis Gannett wrote, “We have had many novels from statesmen and reformers, almost all bad; many novels from poets, almost all thin. In Alan Paton’s Cry, the Beloved Country the statesman, the poet and the novelist meet in a unique harmony.” Cry, the Beloved Country is the deeply moving story of the Zulu pastor Stephen Kumalo and his son, Absalom, set against the background of a land and a people riven by racial injustice. Remarkable for its lyricism, unforgettable for character and incident, Cry, the Beloved Country is a classic work of love and hope, courage and endurance, born of the dignity of man.",Fiction,Fiction
0743406567,Fargo Rock City : A Heavy Metal Odyssey in Rural North Dakota,Chuck Klosterman,2002,Scribner,"Empirically proving that—no matter where you are—kids wanna rock, this is Chuck Klosterman's hilrious memoir of growing up as a shameless metalhead in Wyndmere, North Dakotoa (population: 498). With a voice like Ace Frehley's guitar, Klosterman hacks his way through hair-band history, beginning with that fateful day in 1983 when his older brother brought home Mötley Crüe's Shout at the Devil. The fifth-grade Chuck wasn't quite ready to rock—his hair was too short and his farm was too quiet—but he still found a way to bang his nappy little head. Before the journey was over, he would slow-dance to Poison, sleep innocently beneath satanic pentagrams, lust for Lita Ford, and get ridiculously intellectual about Guns N' Roses. C'mon and feel his noize.",Music,Arts & Entertainment
0743412621,The Second Time Around : A Novel,Mary Higgins Clark,2004,Pocket,"The ""Queen of Suspense,"" Mary Higgins Clark, delivers a gripping tale of deception and tantalizing twists that might have been ripped from today's headlines. When Nicholas Spencer, the charismatic head of a company that has developed an anticancer vaccine, disappears without a trace, reporter Marcia ""Carley"" DeCarlo is assigned the story. Word that Spencer, if alive, has made off with huge sums of money -- including the life savings of many employees -- doesn't do much to change Carley's already low opinion of Spencer's wife, Lynn, who is also Carley's stepsister and whom everyone believes is involved. But when Lynn's life is threatened, she asks Carley to help her prove that she wasn't her husband's accomplice. As the facts unfold, however, Carley herself becomes the target of a dangerous, sinister group that will stop at nothing to get what they want.",Fiction,Fiction
0743417518,Star Trek Voyager Companion (Star Trek (Unnumbered Paperback)),Paul Ruditis,2003,Star Trek,"A companion to the popular syndicated television show offers a complete show-by-show guide to the series, including plot summaries and behind-the-scenes details.",Fiction,Fiction
0743418131,Deck the Halls (Holiday Classics),Mary Higgins Clark,2002,Pocket,"When Regan Reilly's father is kidnapped three days before Christmas, she investigates the disappearance with the help of her parents' neighbors, Willy and Alvirah Meehan.",Fiction,Fiction
0743418263,Music &amp; Silence,Rose Tremain,2001,Washington Square Press,"Brought to the Danish court in 1629 to serve in the king's orchestra, English lutenist Peter Claire soon finds himself caught up in royal intrigue when he falls for a young woman who is the companion of the queen. Winner of the Whitbread Prize. Reader's Guide available. Reprint.",Fiction,Fiction
0743418719,Salem Falls,Jodi Picoult,2002,Washington Square Press,"Robbed of his teaching career and reputation by a student's false accusations, Jack St. Bride is struggling to rebuild his life, but fresh accusations of rape by teenage girls from his former school threaten to destroy him again.",Fiction,Fiction
0743418727,Perfect Match : A Novel,Jodi Picoult,2002,Atria,"District Attorney Nina Frost and her husband, Caleb, face a nightmare when they discover that their young son Nathaniel has been molested, a trauma that has left him mute, terrified, and unable to reveal the identity of his attacker.",Fiction,Fiction
0743422007,"God Bless You, Dr. Kevorkian",Kurt Vonnegut,2001,Washington Square Press,"'Vonnegut is our strongest writer...the most stubbornly imaginative' - John Irving Setting himself up as a 'reporter on the afterlife,' Vonnegut bravely allows himself to be dispatched on a round-trip to the Pearly Gates - or at least that's what he claims - in these 30-odd comic and irreverent 'interviews' with the likes of William Shakespeare, Adolf Hitler and Clarence Darrow. A delight for all Vonnegut devotees, it will appeal to just about anyone with a sense of humour.",Fiction,Fiction
0743426916,The Black Road (Diablo),Mel Odom,2002,Star Trek,"Returning to his hometown of Bramwell after years of wandering, mercenary Darrick Lang discovers that a dark and horrifying force has ensnared its citizens and now seeks to seize him, in a chilling novel of dark fantasy, based on the popular video game. Original. (A Blizzard Entertainment M-rated electronic game) (Horror)",Fiction,Fiction
0743428188,The Twentieth Wife: A Novel,Indu Sundaresan,2003,Washington Square Press,"The story of Mehrunnisa, the daughter of servents who became the an empresses of the Mughal empire.",Fiction,Fiction
0743431014,Songs of the Humpback Whale : A Novel in Five Voices,Jodi Picoult,2001,Washington Square Press,"Back in print by popular demand, Picoult's acclaimed debut novel treats fans old and new to a poignant story of family, friendship and love.",Fiction,Fiction
0743435389,March Upcountry,David Weber,2002,Baen,"When his spaceship crashes en route to a boring ceremonial appearance, Roger MacClintock, a spoiled young prince, and his guardian Royal Marines must take a perilous trek across a planet filled with dangerous plants and hostile peoples.",Fiction,Fiction
0743437497,The Shining,Stephen King,2002,Pocket,"Jack Torrance sees his stint as winter caretaker of a Colorado hotel as a way back from failure, his wife sees it as a chance to preserve their family, and their five-year-old son sees the evil waiting just for them, as they journey into a world in which old horrors come to life to destroy the living. Reprint.",Fiction,Fiction
0743437810,The Vanished Man : A Lincoln Rhyme Novel (Lincoln Rhyme Novels (Paperback)),Jeffery Deaver,2004,Pocket Books,"Hunting down a killer and master illusionist whose first of several brutal murders took place at a prestigious New York music school, investigator Lincoln Rhyme and his protégée, Amelia Sachs, work together to prevent a terrifying act of vengeance. Reprint.",Fiction,Fiction
0743444043,Double Dealer : Crime Scene Investigation,Max Allan Collins,2003,Pocket,"Meet the little known and even less understood heroes of police work in Las Vegas -- the forensic investigators. Led by veteran Gil Grissom, the remarkable team assigned to the Criminalistics Bureau's graveyard shift -- including Catherine Willows, Warrick Brown, Nick Stokes, and Sara Sidle -- must combine cutting-edge scientific methods and old-fashioned savvy as they work to untangle the evidence behind the yellow police tape. While Nick and Catherine investigate a newly discovered fifteen-year-old murder, Grissom and the rest of the team must uncover the indentity of a cold-blooded killer -- one whose execution-style, ""double-tap"" signature has provoked the interest of FBI agent Rick Culpepper.",Fiction,Fiction
0743449029,"Shooting Stars Omnibus : Cinnamon, Ice, Rose and Honey",V.C. Andrews,2002,Pocket,"FOUR GIRLS TOUCHED BY SPECIAL GIFTS. FOUR STUNNING NEW YORK TIMES BESTSELLERS -- - TOGETHER FOR THE FIRST TIME Cinnamon...She escaped her family's turmoil by dreaming of imaginary worlds. But it's her talent for the theater that gives Cinnamon a chance...to truly escape. Ice...To her mother's dismay, she was a silent wallflower, not a social butterfly. Now, her secret gift -- her solid-gold singing voice -- may become her saving grace. Rose...When she danced, she could dream -- and when her father's secrets threatened to destroy her world, a most unlikely person gives Rose the courage to follow her heart. Honey...Raised on her strict grandfather's farm, her natural-born talent for the violin gave her a new life -- and love with a handsome soul mate. Will a shocking revelation shatter her newfound happiness?",Fiction,Fiction
0743454146,The Footprints of God : A Novel,Greg Iles,2004,Pocket Star,"Resisting those who would use a revolutionary new technology for unethical purposes, doctor David Tennant and psychiatrist Rachel Weiss find themselves running for their lives from a ruthless team of NSA agents and turning to David's unusual dreams for guidance. Reprint.",Fiction,Fiction
0743455967,On Writing,Stephen King,2002,Pocket,The author shares his insights into the craft of writing and offers a humorous perspective on his own experience as a writer.,Biography & Autobiography,Biography & Autobiography
0743456815,Sex and the City: Kiss and Tell,Amy Sohn,2002,Pocket,"A fan's resource for the award-winning cable television program features information about the show's actors, producers, costume designers, and sets, and provides summaries of each season and interviews with the cast.",Fiction,Fiction
0743456866,He Sees You When You're Sleeping : A Novel,Carol Higgins Clark,2002,Pocket,"Sterling Brooks is sent back to Earth by the Heavenly Council to help reunite a heartbroken seven-year-old girl with her father and grandmother, who were forced into the witness protection program because two mobsters have put a price on their heads. Reprint.",Fiction,Fiction
0743457919,The Honourable Schoolboy,John le Carre,2002,Scribner,"Trying to rebuild his espionage organization after a traitor is unmasked, George Smiley sends one of his most trusted agents on a mission to the Far East.",Fiction,Fiction
0743463080,Eight Black Horses,Ed McBain,2003,Pocket,"When cryptic notes featuring patterns of eight black horses are delivered to Steve Carello, and a sudden rise in corpses occurs, the cops of the 87th Precinct realize the Deaf Man is back with a vengeance.",Fiction,Fiction
0743464117,"Band of Brothers : E Company, 506th Regiment, 101st Airborne from Normandy to Hitler's Eagle's Nest",Stephen E. Ambrose,2002,Pocket,"Through soldiers' journals and letters, describes Easy Company's contributions to the campaigns in western Europe and recounts their stories of survival.",History,History & Politics
0743466500,The Price of Pleasure,Kresley Cole,2004,Pocket Books,"Kresley Cole returns with a breathtaking romantic saga of love, honor, and passion unbound -- as a man of duty faces his greatest trial, and a young castaway discovers her greatest desire.... A man noted for his courage and integrity, Captain Grant Sutherland journeys to Oceania to find Victoria Dearbourne, an English girl lost at sea a decade before. He's given her ailing grandfather his word -- as a gentleman -- to find and protect her. But one look at a grown Victoria and Grant has never felt less like one. Tori relishes freedom, untamed passion, and spontaneity above stifling order. Even more so when a proud, cold British captain arrives to rescue her, though she has no wish to be. As Grant tries to convince her to leave her island home, she begins to see in him a man hungering for more. A man who once laughed. A man who desires her but won't take what she offers. Grant struggles to control his own savage passions -- and fails, Tori must decide what she wants more -- her unfettered independence or the only man who could tame her wild heart....",Fiction,Fiction
0743466527,Fall on Your Knees (Oprah's Book Club),Ann-Marie MacDonald,2002,Pocket,"Spanning five generations and moving from Cape Breton Island in Nova Scotia, to the bleak landscape of World War I, and to the emerging jazz scene in New York City, this epic tale tells the story of four sisters.",Fiction,Fiction
074346754X,"Homecoming, Book 1 (Star Trek: Voyager)",Christie Golden,2003,Star Trek,"After seven years trapped in the Delta Quadrant, Admiral Kathryn Janeway and the crew of Voyager miraculously find their way home, where they find new opportunities, adventures, and reunions with loved ones, until a mysterious cybernetic plague strikes Earth, transforming humans into a new generation of Borg. Original.",Fiction,Fiction
0743474163,Paradise,Judith McNaught,2003,Pocket Books,"Faced paced romantic novel, Corporate raider Matthew Farrell comes a long way from a kid working the steel mills.",Fiction,Fiction
0743477103,Macbeth,William Shakespeare,2003,Washington Square Press,"Offers explanatory notes on pages facing the text of the play, as well as an introduction to Shakespeare's language, life, and theater.",Drama,Drama
0743477111,Romeo and Juliet (Folger Shakespeare Library),William Shakespeare,2004,Washington Square Press,"Offers explanatory notes on pages facing the text of the play, as well as an introduction to Shakespeare's language, life, and theater",Drama,Drama
0743477367,Dracula (Enriched Classics Series),Bram Stoker,2003,Pocket,"A new edition of the classic horror novel features the immortal vampire count and his fellow creatures of the night, whose horrific thirst for blood leads him from the mountains of Central Europe to England, until the savvy Dr. Van Helsing comes up with a way to end his reign of terror. Reprint.",Fiction,Fiction
0743477545,A Midsummer Night's Dream (Folger Shakespeare Library),William Shakespeare,2004,Washington Square Press,"Shakespeare's popular comedy of love and mistaken identity is accompanied by a section on reading Shakespeare's language, information on Shakespeare's life and theater, explanatory notes, annotated reading lists, and an essay",Drama,Drama
0743477553,Othello (Folger Shakespeare Library),William Shakespeare,2004,Washington Square Press,"In Othello, Shakespeare creates powerful drama from a marriage between the exotic Moor Othello and the Venetian lady Desdemona that begins with elopement and mutual devotion and ends with jealous rage and death. Shakespeare builds many differences into his hero and heroine, including race, age, and cultural background. Yet most readers and audiences believe the couple's strong love would overcome these differences were it not for Iago, who sets out to destroy Othello. Iago's false insinuations about Desdemona's infidelity draw Othello into his schemes, and Desdemona is subjected to Othello's horrifying verbal and physical assaults. The authoritative edition of Othello from The Folger Shakespeare Library, the trusted and widely used Shakespeare series for students and general readers, is now available as an ebook. Features include: · The exact text of the printed book for easy cross-reference · Hundreds of hypertext links for instant navigation · Freshly edited text based on the best early printed version of the play · Full explanatory notes conveniently placed on pages facing the text of the play · Scene-by-scene plot summaries · A key to famous lines and phrases · An introduction to reading Shakespeare’s language · Illustrations from the Folger Shakespeare Library’s vast holdings of rare books · An essay by a leading Shakespeare scholar providing a modern perspective on the pla",Drama,Drama
0743480694,The Sea Hunters : True Adventures with Famous Shipwrecks,Clive Cussler,2003,Pocket Star,"Collects accounts of the underwater discoveries made by the author and his team of volunteers dedicated to the exploration of historic wrecks, including the Lexington and the Arkansas.",Fiction,Fiction
0743480716,Underworld : Book 1,Greg Cox,2003,Pocket Star,"The centuries-long struggle between vampires and their sworn enemies, the werewolves, takes a bizarre turn in modern-day Budapest when vampire warrior Selene, a Death Dealer, finds herself drawn to Michael, an inncent American recently infected with the lupine curse. Original. (A Sony Pictures film, written by Danny McBride, releasing September 2003, starring Kate Beckinsale, Scott Speedman, Shane Brolly, Robby Gee, Erwin Leder, Wentworth Miller, Sophia Myles, Bill Nighy, & Michael Sheen) (Horror)",Fiction,Fiction
0743482778,Twelfth Night (Folger Shakespeare Library),William Shakespeare,2004,Washington Square Press,"Background information about Shakespeare, Elizabethan theater, and the text accompany his play about unrequited love and mistaken identity.",Drama,Drama
0743482808,Romeo and Juliet (Folger Shakespeare Library),William Shakespeare,2004,Washington Square Press,"Offers explanatory notes on pages facing the text of the play, as well as an introduction to Shakespeare's language, life, and theater.",Drama,Drama
0743487583,Frankenstein (Enriched Classics),Mary Shelley,2004,Pocket,Presents the story of Dr. Frankenstein and his obsessive experiment that leads to the creation of a monstrous and deadly creature.,Fiction,Fiction
0743491777,A Time to Kill (Star Trek The Next Generation),David Mack,2004,Star Trek,"On the cusp of their epic battle with Shinzon, many of Captain Jean-Luc Picard's long time crew were heading for new assignments and new challenges. Among the changes were William Riker's promotion to captain and his new command, Riker's marriage to Counselor Deanna Troi, and Dr. Beverly Crusher's new career at Starfleet Medical. But the story of what set them on a path away from the Starship Enterprise™ has never been told. UNTIL NOW. At the height of the Dominion War and unknown to all save those in the highest levels of command, the Federation secretly armed the neutral planet Tezwa with devastating weapons -- part of a contingency plan against the Dominion if the front lines collapsed. But Tezwa also lies near the border of the Klingon Empire...making the Federation's covert strategy in direct violation of their fragile peace treaties,and creating the potential threat of scandal and all-out war. Now Tezwa's power-hungry prime minister is all too eager to flex his newfound military muscle, menacing a nearby Klingon border world. Sent on an urgent diplomatic mission, Captain Picard and the Enterprise crew are caught in the crossfire as the crisis quickly escalates. With time running out and billions of lives at stake, only one man can avert the looming disaster -- Ambassador Worf, who must choose between his oath to the Federation and his loyalty to Martok, Chancellor of the Klingon Empire....",Fiction,Fiction
0744001404,Final Fantasy X Official Strategy Guide,Dan Birlew,2001,Brady Games,"With this guide, gamers can augment their game play. Complete walkthroughs and all the maps help players navigate the game. Character descriptions, and complete lists of items, monsters and magic are included.",Games & Activities,Games’
0747267448,Two's Company,Jill Mansell,2004,Headline,"Love is always just around the corner in a Jill Mansell novel - with a few surprises and a lot of humour on the way to happiness Jack and Cass Mandeville are a dream couple, ridiculously happy together and successful to boot - Jack as a journalist and Cass with her own hugely popular radio show. Indeed, almost every member of the Mandeville family is famous in their own right: from stunning Cleo, a supermodel with attitude, to Sean, the rising star of the comedy circuit. Incredibly good-looking and likeable, the family have captured the hearts of the nation - and the nation's press. But on the day that Jack hits the big 40 - the same day that a redhead called Imogen turns up to interview Jack and Cass for Hi! magazine - their proverbial bubble is about to burst...",Fiction,Fiction
0747526036,The Private Parts of Women,Leslie Glaister,1996,Bloomsbury Publishing Plc,A handsome new cover edition of Lesley Glaister's compelling and disturbing novel,English fiction,Fiction
0747541604,The Gashlycrumb Tinies,Edward Gorey,1998,Bloomsbury Publishing Plc,'A is for Amy who fell down the stairs. B is for Basil assaulted by bears. C is for Clara who wasted away. D is for Desmond thrown out of a sleigh...',"American wit and humor, Pictorial",Humor
0747548315,Turtle Diary,Russell Hoban,2000,Bloomsbury Pub Ltd,"In the aquarium at the London Zoo, three sea turtles swim endlessly in 'their little bedsitter of ocean'. Two lonely people, William G and Neaera H, become obsessed with the turtles' captivity, and resolve to rescue them and release them in to the sea. William's and Neaera's diaries tell the story of how they achieve the turtles' freedom, and in the process re-define their own lives.",Fiction,Fiction
0751503894,The Physician,Noah Gordon,2001,Warner Futura,"Eleventh-century England and Persia are the backgrounds of this story of an orphan named Rob Cole, who is apprenticed to a travelling barber-surgeon and, discovering in himself a gift for healing, decides to study medicine with the legendary Avicenna.",Fiction,Fiction
